id,Date,Longitude,Latitude,Route,Operator,Type,Registration,Aboard,Fatalities,weather,terrain,sabotage,unknown,mechanical,human,pilot,flt_src,flt_dest,src_lon,src_lat,dest_lon,dest_lat
3038,02/18/1978,-119.839755,39.012451,"Los Angeles, CA - Lake Tahoe, CA",Chartair - Air Taxi,Beechcraft 58,N4307W,4,4,1,0,0,0,0,0,0,"Los Angeles, CA","Lake Tahoe, CA",-118.244476,34.054935,-100.445882,39.78373
3039,02/27/1978,-153.30833,61.19889,"Dillingham, AK - Anchorage, AK",Yute Air Alaska - Air Taxi,Evangel 4500,N4508L,3,3,1,0,0,0,0,0,1,"Dillingham, AK","Anchorage, AK",-158.201685,59.901111,-149.894852,61.216313
3040,02/28/1978,-120.170111,34.648841,"Visalia, CA - Santa Barbara, CA - Santa Maria, CA",Security Air,Aero Commander 500A,N6143X,7,7,0,0,0,0,0,0,0,"Visalia, CA","Santa Maria, CA",-119.292058,36.330228,-100.445882,39.78373
3041,3/01/1978,-117.956178,35.123677,Los Angeles - Honolulu,Continental Airlines,McDonnell Douglas DC-10-10,N68045,200,2,0,0,0,0,0,1,1,Los Angeles,Honolulu,-118.244476,34.054935,-157.855676,21.304547
3042,3/01/1978,144.74886,13.47567,"Agana, Guam - Rota, TT",Island Air,Cessna 337F,N101SX,6,2,0,0,0,0,0,0,0,"Agana, Guam","Rota, TT",144.764766,13.473191,-100.445882,39.78373
3044,3/03/1978,-66.87919,10.48801,Caracas - Cumana,LAV - Linea Aeropostal Venezolana,British Aerospace 748 2A,YV-45C,47,47,0,0,0,0,0,0,1,Caracas,Cumana,-66.914602,10.506098,-64.163015,10.449447
3045,3/07/1978,-89.114317,31.711733,"Jackson, MS - Laurel, MS",Hesler Noble - Air Taxi,Cessna 310I,N8114M,2,2,0,0,0,0,0,0,1,"Jackson, MS","Laurel, MS",-90.184769,32.299038,-89.13382,31.74096
3046,03/14/1978,-83.562287,42.691452,"Flint, MI - Whitelake, MI",Wyman Pilot Service - Air Taxi,Beechcraft D18,N427Q,2,2,0,0,0,0,0,0,0,"Flint, MI","Whitelake, MI",-83.723602,43.017177,-2.573156,51.146151
3047,03/16/1978,25,43,Sofia - Warszawa,Balkan Bulgarian Airlines,Tupolev TU-134,LZ-TUB,73,73,0,0,0,0,0,0,0,Sofia,Warszawa,23.322179,42.697863,21.006727,52.231924
3048,03/22/1978,-117.373184,33.99504,"Santa Ana, CA - Lake Havasu, AZ",Lake Havasu Air,Cessna T207A,N7354U,6,6,1,0,0,0,0,0,0,"Santa Ana, CA","Lake Havasu, AZ",-117.873221,33.749495,-100.445882,39.78373
3049,03/25/1978,98,22,Yangon - Myitkyina,Burma Airways,Fokker F-27 Friendship 200,XY-ADK,48,48,0,0,0,0,0,0,0,Yangon,Myitkyina,96.160992,16.796713,97.399993,25.383331
3052,4/05/1978,-64.5,18.5,"St. John, VI - St. Croix, VI",Antilles Air,Grumman G-21,N877A,9,2,0,0,0,0,0,0,0,"St. John, VI","St. Croix, VI",-64.754985,18.335524,-64.759016,17.728956
3053,04/20/1978,33.09251,68.97917,Paris - Seoul,Korean Airlines,Boeing B-707-321B,HL-7429,109,2,0,0,0,0,0,0,0,Paris,Seoul,2.351499,48.85661,126.978291,37.566679
3054,04/23/1978,-85.590869,39.663342,"Trenton, NJ - Indianappolis, IN",Air Taxi,Piper PA-31,N49MC,9,9,0,0,0,0,0,0,0,"Trenton, NJ","Indianappolis, IN",-74.742946,40.217058,-100.445882,39.78373
3055,04/27/1978,-172.17831,-13.8031,"Pago Pago, American Samoa - Apia, Western Samoa",South PacifiIsland Airways,Cessna 402B,N3SP,10,10,0,0,0,0,0,0,0,"Pago Pago, American Samoa","Apia, Western Samoa",-170.70483,-14.275479,-100.445882,39.78373
3056,04/29/1978,-74.08175,4.60971,Bogota - Barranquilla,LAC Colombia,Douglas C-118A,HK-1705,12,8,0,0,0,0,0,0,0,Bogota,Barranquilla,-74.076103,4.598077,-74.808646,11.011848
3057,09/13/1978,-148.68389,60.77306,"Anchorage, AK - Whittier, AK",Alaska Travel,de Havilland DHC-2,N37741,6,6,1,0,0,0,0,0,0,"Anchorage, AK","Whittier, AK",-149.894852,61.216313,-148.683889,60.773056
3058,5/08/1978,-87.137468,30.333533,"Miami, FL - Pensacola, FL - Mobile, AL",National Airlines,Boeing B-727-235,N4744,58,3,1,0,0,0,0,1,1,"Miami, FL","Mobile, AL",-80.193659,25.774266,-88.043054,30.694357
3060,05/19/1978,32.44067,54.40685,Baku - Leningrad,Aeroflot,Tupolev TU-154B,CCCP-85169,134,4,0,0,0,0,0,0,0,Baku,Leningrad,49.832675,40.375443,30.316229,59.938732
3062,06/26/1978,-79.4163,43.70011,Toronto - Winnipeg,Air Canada,McDonnell Douglas DC-9-32,C-FTLV,107,2,0,0,0,0,0,0,1,Toronto,Winnipeg,-79.387207,43.653963,-97.168579,49.884017
3063,06/26/1978,5.32415,60.39299,Bergen - Stratjford-A,Helikopter Service,Sikorsky S-61N,LN-OQS,18,18,0,0,0,0,0,0,0,Bergen,Stratjford-A,5.325551,60.394353,-100.445882,39.78373
3064,07/24/1978,36.81667,-1.28333,Samburu - Nairobi,Amphibians,Britten Norman BN-2A Trislander Mk.III-2,5Y-CMC,11,5,1,0,0,0,0,0,0,Samburu,Nairobi,36.942166,1.539446,36.817245,-1.283253
3066,08/25/1978,-150.00028,64.00028,"Laboucher, AK - Ketchican, AK",Webber Air - Air Taxi,Grumman G-21 Goose,N1045,12,12,0,0,0,0,0,0,0,"Laboucher, AK","Ketchican, AK",-100.445882,39.78373,-100.445882,39.78373
3067,08/25/1978,-104.43915,36.90336,"Kansas City, MO - Raton, NM",Air Taxi,Mitsubishi MU-2J,N178MA,6,6,0,0,0,0,0,0,1,"Kansas City, MO","Raton, NM",-94.578142,39.100105,-104.4391,36.903598
3069,08/30/1978,-115.206969,36.301068,"Las Vegas, NV - Santa Ana, CA",Las Vegas Airlines,Piper PA-31-350 Chieftain,N44LV,10,10,0,0,0,0,0,0,0,"Las Vegas, NV","Santa Ana, CA",-115.149225,36.166286,-117.873221,33.749495
3070,9/02/1978,-28.6731465,-14.5994134,"St. Croix, VI - St. Thomas, VI",Antillies Air - Air Taxi,Grumman G-21A,N7777V,11,4,0,0,0,0,0,0,0,"St. Croix, VI","St. Thomas, VI",-64.759016,17.728956,-64.9189,18.342908
3071,9/03/1978,-127.58648,50.59961,Victoria harbor - Victoria Harbor Water Aerodome,AirWest Airlines,de havilland Canada Twin Otter 200,C-FAIV,13,11,0,0,0,0,0,0,0,Victoria harbor,Victoria Harbor Water Aerodome,115.2429,5.276021,-100.445882,39.78373
3073,9/03/1978,29,-16.33333,Kariba - Salisbury,Air Rhodesia,Vickers Viscount 782D,VP-WAS,56,38,0,0,1,0,0,0,0,Kariba,Salisbury,28.578375,-16.893982,-1.795118,51.073661
3074,9/09/1978,-88.253105,40.068677,"Savoy, IL - Cleveland, OH",Air Taxi,Piper PA-31,N26AN,6,6,0,0,0,0,0,0,0,"Savoy, IL","Cleveland, OH",-88.251716,40.054753,-81.693445,41.505161
3075,9/09/1978,-99.12766,19.42847,Mexico City - Morelia,Lineas Areas del Centro,de Havilland Canada DHC-6 Twin Otter 100,XA-BOP,21,18,0,0,0,0,0,0,0,Mexico City,Morelia,-99.133342,19.432601,-101.192382,19.702712
3076,9/09/1978,-132.364407,56.449893,"Wrangell, AK - Return",Temesco Helicopter - Air Taxi,Soloy 12EJ3,N5384V,3,3,0,0,0,0,0,0,0,"Wrangell, AK",Return,-132.376667,56.470833,-82.995427,34.639821
3077,09/14/1978,120.98333,14.5,Laoag - Paranaque,Military - Philippine Air Force,Fokker F-27 Friendship 200,PH-FKY,28,21,1,0,0,0,0,0,0,Laoag,Paranaque,120.593543,18.197324,120.991549,14.500702
3078,09/17/1978,-28.6731465,-14.5994134,"King Salmon, AK - Kodiak, AK",Viking Air Service - Air Taxi,Cessna 411,N1EC,3,3,0,0,0,0,0,0,0,"King Salmon, AK","Kodiak, AK",-156.661838,58.688434,-152.407222,57.79
3079,09/25/1978,-72.98259,42.72266,"Bridgeport, CT - Albany, NY",Business Aircraft - Air Taxi,Cessna 310N,N4121Q,3,3,1,0,0,0,0,0,0,"Bridgeport, CT","Albany, NY",-73.204835,41.167041,-73.754968,42.651167
3080,09/25/1978,-117.170912,32.724103,Los Angeles - San Diego,PacifiSouthwest Airlines / Private,Boeing B-727-214 / Cessna 172,N533PS/N7711G,137,137,0,0,0,0,0,1,1,Los Angeles,San Diego,-118.244476,34.054935,-117.162771,32.717421
